#{"t_start": 1764217514.1654038, "env_id": "CarRacing-v3"}
r,l,t
893.055556,1000,8682.896863
274.074074,1000,8692.251525
702.721088,1000,8701.888738
400.0,1000,8711.647953
742.696629,1000,8721.30989
847.368421,1000,8731.235213
772.791519,1000,8740.653488
562.686567,1000,8750.581726
490.909091,1000,8760.289589
737.370242,1000,8769.832708
837.293729,1000,8779.415817
357.51634,1000,8789.282615
424.115756,1000,8798.738947
393.197279,1000,8808.097729
876.109215,1000,8817.671889
833.823529,1000,8827.93651
856.521739,1000,8838.118895
889.285714,1000,8847.910006
320.19544,1000,8857.787124
189.90228,1000,8867.450407
927.8,722,8874.556615
329.115663,499,8879.552987
889.090909,1000,8889.273378
750.0,1000,8899.102649
681.609195,1000,8908.502511
947.6,524,8913.59516
859.107807,1000,8923.023994
598.675497,1000,8932.735559
412.987013,1000,8942.423757
531.578947,1000,8952.10818
934.5,655,8958.290366
856.112853,1000,8968.496131
811.971831,1000,8978.522229
659.375,1000,8988.465113
485.956115,940,8997.693122
33.333333,1000,9007.162358
537.931034,1000,9017.072062
751.351351,1000,9026.862165
746.153846,1000,9036.896011
853.947368,1000,9046.965783
80.272109,1000,9056.482714
653.378378,1000,9066.574458
271.829299,805,9074.503425
210.240964,1000,9084.354904
906.4,936,9093.526975
889.130435,1000,9103.033135
886.206897,1000,9112.772627
518.343195,1000,9122.81965
814.965986,1000,9132.811346
838.983051,1000,9142.616148
857.928803,1000,9152.43099
742.44373,1000,9162.176316
896.825397,1000,9171.478859
380.273941,638,9177.273433
838.566553,1000,9186.739001
600.996678,1000,9196.170909
940.7,593,9201.82348
369.798658,1000,9211.537082
909.3,907,9220.236663
856.666667,1000,9230.046713
638.601824,1000,9239.767095
707.560137,1000,9249.594907
542.425,983,9259.281699
934.0,660,9265.932608
400.0,1000,9275.667786
863.099631,1000,9285.277275
692.727273,1000,9294.684806
769.822485,1000,9305.0099
489.655172,1000,9314.796584
490.062112,1000,9324.595615
510.759494,1000,9334.50492
834.482759,1000,9344.430137
421.875,1000,9353.925602
370.989761,1000,9363.496971
892.673993,1000,9373.585577
867.213115,1000,9384.004166
803.225806,1000,9393.779028
933.3,667,9400.157081
836.102236,1000,9410.030161
933.8,662,9416.569498
733.333333,1000,9426.480122
842.307692,1000,9436.086232
880.519481,1000,9445.796802
415.060241,1000,9456.234666
880.707395,1000,9466.019129
320.74928,1000,9475.976251
900.6,994,9485.966537
936.2,638,9492.291987
938.5,615,9498.115871
877.491961,1000,9507.851735
263.896848,1000,9517.550811
836.908517,1000,9527.231638
849.526814,1000,9536.69613
876.027397,1000,9546.617106
885.507246,1000,9556.277878
875.862069,1000,9566.186014
215.625,1000,9575.879065
434.743202,1000,9585.643615
848.051948,1000,9595.359266
851.557093,1000,9605.439655
457.324841,1000,9614.815419
874.842767,1000,9624.685409
873.760933,1000,9634.730206
826.056338,1000,9644.669138
577.325581,1000,9654.661744
866.101695,1000,9664.654313
885.130112,1000,9674.234589
882.993197,1000,9684.138719
369.453376,1000,9694.091482
882.394366,1000,9703.822516
852.702703,1000,9713.637494
850.877193,1000,9723.546347
882.269504,1000,9733.227502
760.841424,1000,9743.107345
802.140673,1000,9753.079436
721.192053,1000,9763.3888
209.351613,972,9772.811576
940.7,593,9778.521665
834.306569,1000,9788.204013
674.193548,1000,9798.100022
863.525836,1000,9808.060663
849.685535,1000,9817.877346
738.487973,1000,9827.646583
885.964912,1000,9837.483392
842.176871,1000,9847.427616
644.897959,1000,9857.181871
885.815603,1000,9866.83625
874.910394,1000,9876.734307
687.755102,1000,9886.120729
879.253112,1000,9895.723364
152.966667,388,9899.438341
856.834532,1000,9909.162981
76.029963,1000,9917.999171
931.8,682,9924.341312
832.659933,1000,9934.139188
859.322034,1000,9944.073102
937.3,627,9950.200029
460.961538,976,9959.777505
840.17094,1000,9969.953823
864.85623,1000,9979.905055
938.9,611,9985.673298
875.694444,1000,9995.39838
875.778547,1000,10005.143223
886.15917,1000,10015.04705
626.277372,1000,10024.582068
919.8,802,10032.34866
878.417266,1000,10041.939424
833.333333,1000,10051.990881
470.469799,1000,10061.590627
25.401929,1000,10071.215779
852.978056,1000,10082.279681
885.714286,1000,10092.461566
840.559441,1000,10102.297073
862.14511,1000,10112.219849
876.470588,1000,10121.622456
434.653465,1000,10131.401662
548.275862,1000,10141.26396
836.758893,1000,10150.839179
941.8,582,10156.382284
861.937716,1000,10166.18626
867.391304,1000,10176.002
868.641115,1000,10185.724039
802.821317,1000,10195.578127
694.612795,1000,10205.75665
758.237548,1000,10215.275712
876.095618,1000,10224.910326
850.0,1000,10234.566756
795.522388,1000,10244.37381
850.177936,1000,10253.948013
878.26087,1000,10264.037595
886.486486,1000,10273.880216
854.861111,1000,10283.795784
658.239726,946,10293.030892
896.551724,1000,10302.783065
880.263158,1000,10312.440501
798.809524,1000,10322.645553
892.619926,1000,10332.164388
902.5,975,10341.460971
793.80531,1000,10351.385881
868.085106,1000,10361.336106
880.0,1000,10370.638458
893.174061,1000,10380.122307
838.110749,1000,10390.151376
941.2,588,10396.128921
892.619926,1000,10405.897917
885.40146,1000,10415.793835
882.698962,1000,10425.503592
840.983607,1000,10435.352612
841.780822,1000,10445.291578
831.034483,1000,10455.050673
934.2,658,10461.54625
858.990536,1000,10471.788269
896.323529,1000,10481.536033
857.854406,1000,10491.106423
885.40146,1000,10500.72226
704.733728,1000,10510.746487
751.301115,1000,10520.414039
849.685535,1000,10530.396178
875.945017,1000,10540.147812
872.789116,1000,10550.172834
266.075676,597,10556.040304
896.09375,1000,10565.748945
942.6,574,10571.191999
827.272727,1000,10581.094282
880.0,1000,10590.637401
